Datetime;T_set_Bathroom;T_set_Room3;T_set_Room1;T_set_Room2;T_set_Kitchen;T_set_Dining;T_set_Living;T_m_ext;T_m_water;T_m_ground_post;Irradiation;Occupancy;switch_Bathroom;switch_Room3;switch_Room1;switch_Room2;switch_Kitchen;switch_Dining;switch_Living;T_m_Kitchen;T_m_Dining;T_m_Living;T_m_Room1;T_m_Bathroom;T_m_Room2;T_m_Room3
2021-02-27 00:30:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;4.0;31.66666666666667;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.338504120534992;16.93925465346581;16.16136081851448;17.231847524639647;15.935415726055737;17.237910801328837;16.301048386672278
2021-02-27 00:45:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;3.6666666666666665;37.66666666666666;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.23841240308883;16.849733653723774;16.038260903316655;17.172254179184506;15.833728115385725;17.13179383711008;16.191330469749573
2021-02-27 01:00:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;3.0;37.333333333333336;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.137366888810902;16.759904204013083;15.912344218546252;17.10829141183916;15.72040013831645;17.02351481359574;16.07616301480931
2021-02-27 01:15:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;3.0;33.333333333333336;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;17.037884533344936;16.67145694598537;15.79259779420994;17.04622518527742;15.61240479409878;17.03826829199761;15.96595437552503
2021-02-27 01:30:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;3.0;29.66666666666667;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;16.939983063444174;16.58445258180882;15.678263970015905;16.985067446162248;15.508787675140297;17.01944323212996;15.859462848953342
2021-02-27 01:45:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;3.0;30.33333333333333;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;16.84368305042733;16.49893614830802;15.568981272748431;16.924839042354904;15.408984380272216;17.001878618231103;15.756643017350768
2021-02-27 02:00:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;3.0;39.0;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;16.749032667040353;16.414954107225583;15.465045133952856;16.867234327118013;15.31299787255574;17.045359922817966;15.659282920221528
2021-02-27 02:15:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;3.0;37.333333333333336;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;16.656064349418898;16.3325417191532;15.365954623827065;16.811601900627636;15.220678927000165;17.0687468780049;15.566448111247098
2021-02-27 02:30:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;3.0;41.0;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;16.564815492335583;16.251731787209053;15.271653338754845;16.75847572759858;15.132025134255173;17.113444923590464;15.478584262730863
2021-02-27 02:45:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;2.333333333333333;32.666666666666664;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;16.472806076232075;16.170678462525643;15.173456869922575;16.703064907011992;15.032728882693789;17.085008167934063;15.386761019602318
2021-02-27 03:00:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;2.0;35.0;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;16.386150235061677;16.094024878585003;15.398326116598355;16.64728898716629;14.935560351374193;17.072828834419568;15.311283306930136
